Variable Label,Variable Name,Variable Type
ED-6 Method(s) used in Feb [interview yr-1] - 2nd mention,METHX102,raw
ED-6 Method(s) used in Feb [interview yr-1] - 3rd mention,METHX103,raw
ED-6 Method(s) used in Feb [interview yr-1] - 4th mention,METHX104,raw
ED-6 Method(s) used in Feb [interview yr-2] - 1st mention,METHX53,raw
ED-6 Method(s) used in Feb [interview yr-2] - 2nd mention,METHX54,raw
ED-6 Method(s) used in Feb [interview yr-2] - 3rd mention,METHX55,raw
ED-6 Method(s) used in Feb [interview yr-2] - 4th mention,METHX56,raw
ED-6 Method(s) used in Feb [interview yr-3] - 1st mention,METHX5,raw
ED-6 Method(s) used in Feb [interview yr-3] - 2nd mention,METHX6,raw
ED-6 Method(s) used in Feb [interview yr-3] - 3rd mention,METHX7,raw
ED-6 Method(s) used in Feb [interview yr-3] - 4th mention,METHX8,raw
ED-6 Method(s) used in Jan [interview yr] - 1st mention,METHX145,raw
ED-6 Method(s) used in Jan [interview yr] - 2nd mention,METHX146,raw
ED-6 Method(s) used in Jan [interview yr] - 3rd mention,METHX147,raw
ED-6 Method(s) used in Jan [interview yr] - 4th mention,METHX148,raw
ED-6 Method(s) used in Jan [interview yr-1] - 1st mention,METHX97,raw
ED-6 Method(s) used in Jan [interview yr-1] - 2nd mention,METHX98,raw
ED-6 Method(s) used in Jan [interview yr-1] - 3rd mention,METHX99,raw
ED-6 Method(s) used in Jan [interview yr-1] - 4th mention,METHX100,raw
ED-6 Method(s) used in Jan [interview yr-2] - 1st mention,METHX49,raw
ED-6 Method(s) used in Jan [interview yr-2] - 2nd mention,METHX50,raw
ED-6 Method(s) used in Jan [interview yr-2] - 3rd mention,METHX51,raw
ED-6 Method(s) used in Jan [interview yr-2] - 4th mention,METHX52,raw
ED-6 Method(s) used in Jan [interview yr-3] - 1st mention,METHX1,raw
ED-6 Method(s) used in Jan [interview yr-3] - 2nd mention,METHX2,raw
ED-6 Method(s) used in Jan [interview yr-3] - 3rd mention,METHX3,raw
ED-6 Method(s) used in Jan [interview yr-3] - 4th mention,METHX4,raw
ED-6 Method(s) used in July [interview yr] - 1st mention,METHX169,raw
ED-6 Method(s) used in July [interview yr] - 2nd mention,METHX170,raw
ED-6 Method(s) used in July [interview yr] - 3rd mention,METHX171,raw
ED-6 Method(s) used in July [interview yr] - 4th mention,METHX172,raw
ED-6 Method(s) used in July [interview yr-1] - 1st mention,METHX121,raw
ED-6 Method(s) used in July [interview yr-1] - 2nd mention,METHX122,raw
ED-6 Method(s) used in July [interview yr-1] - 3rd mention,METHX123,raw
ED-6 Method(s) used in July [interview yr-1] - 4th mention,METHX124,raw
ED-6 Method(s) used in July [interview yr-2] - 1st mention,METHX73,raw
ED-6 Method(s) used in July [interview yr-2] - 2nd mention,METHX74,raw
ED-6 Method(s) used in July [interview yr-2] - 3rd mention,METHX75,raw
ED-6 Method(s) used in July [interview yr-2] - 4th mention,METHX76,raw
ED-6 Method(s) used in July [interview yr-3] - 1st mention,METHX25,raw
ED-6 Method(s) used in July [interview yr-3] - 2nd mention,METHX26,raw
ED-6 Method(s) used in July [interview yr-3] - 3rd mention,METHX27,raw
ED-6 Method(s) used in July [interview yr-3] - 4th mention,METHX28,raw
ED-6 Method(s) used in June [interview yr] - 1st mention,METHX165,raw
ED-6 Method(s) used in June [interview yr] - 2nd mention,METHX166,raw
ED-6 Method(s) used in June [interview yr] - 3rd mention,METHX167,raw
ED-6 Method(s) used in June [interview yr] - 4th mention,METHX168,raw
ED-6 Method(s) used in June [interview yr-1] - 1st mention,METHX117,raw
ED-6 Method(s) used in June [interview yr-1] - 2nd mention,METHX118,raw
ED-6 Method(s) used in June [interview yr-1] - 3rd mention,METHX119,raw
ED-6 Method(s) used in June [interview yr-1] - 4th mention,METHX120,raw
ED-6 Method(s) used in June [interview yr-2] - 1st mention,METHX69,raw
ED-6 Method(s) used in June [interview yr-2] - 2nd mention,METHX70,raw
ED-6 Method(s) used in June [interview yr-2] - 3rd mention,METHX71,raw
ED-6 Method(s) used in June [interview yr-2] - 4th mention,METHX72,raw
ED-6 Method(s) used in June [interview yr-3] - 1st mention,METHX21,raw
ED-6 Method(s) used in June [interview yr-3] - 2nd mention,METHX22,raw
ED-6 Method(s) used in June [interview yr-3] - 3rd mention,METHX23,raw
ED-6 Method(s) used in June [interview yr-3] - 4th mention,METHX24,raw
ED-6 Method(s) used in Mar [interview yr] - 1st mention,METHX153,raw
ED-6 Method(s) used in Mar [interview yr] - 2nd mention,METHX154,raw
ED-6 Method(s) used in Mar [interview yr] - 3rd mention,METHX155,raw
ED-6 Method(s) used in Mar [interview yr] - 4th mention,METHX156,raw
ED-6 Method(s) used in Mar [interview yr-1] - 1st mention,METHX105,raw
ED-6 Method(s) used in Mar [interview yr-1] - 2nd mention,METHX106,raw
ED-6 Method(s) used in Mar [interview yr-1] - 3rd mention,METHX107,raw
ED-6 Method(s) used in Mar [interview yr-1] - 4th mention,METHX108,raw
ED-6 Method(s) used in Mar [interview yr-2] - 1st mention,METHX57,raw
ED-6 Method(s) used in Mar [interview yr-2] - 2nd mention,METHX58,raw
ED-6 Method(s) used in Mar [interview yr-2] - 3rd mention,METHX59,raw
ED-6 Method(s) used in Mar [interview yr-2] - 4th mention,METHX60,raw
ED-6 Method(s) used in Mar [interview yr-3] - 1st mention,METHX9,raw
ED-6 Method(s) used in Mar [interview yr-3] - 2nd mention,METHX10,raw
ED-6 Method(s) used in Mar [interview yr-3] - 3rd mention,METHX11,raw
ED-6 Method(s) used in Mar [interview yr-3] - 4th mention,METHX12,raw
ED-6 Method(s) used in May [interview yr] - 1st mention,METHX161,raw
ED-6 Method(s) used in May [interview yr] - 2nd mention,METHX162,raw
ED-6 Method(s) used in May [interview yr] - 3rd mention,METHX163,raw
ED-6 Method(s) used in May [interview yr] - 4th mention,METHX164,raw
ED-6 Method(s) used in May [interview yr-1] - 1st mention,METHX113,raw
ED-6 Method(s) used in May [interview yr-1] - 2nd mention,METHX114,raw
ED-6 Method(s) used in May [interview yr-1] - 3rd mention,METHX115,raw
ED-6 Method(s) used in May [interview yr-1] - 4th mention,METHX116,raw
ED-6 Method(s) used in May [interview yr-2] - 1st mention,METHX65,raw
ED-6 Method(s) used in May [interview yr-2] - 2nd mention,METHX66,raw
ED-6 Method(s) used in May [interview yr-2] - 3rd mention,METHX67,raw
ED-6 Method(s) used in May [interview yr-2] - 4th mention,METHX68,raw
ED-6 Method(s) used in May [interview yr-3] - 1st mention,METHX17,raw
ED-6 Method(s) used in May [interview yr-3] - 2nd mention,METHX18,raw
ED-6 Method(s) used in May [interview yr-3] - 3rd mention,METHX19,raw
ED-6 Method(s) used in May [interview yr-3] - 4th mention,METHX20,raw
ED-6 Method(s) used in Nov [interview yr] - 1st mention,METHX185,raw
ED-6 Method(s) used in Nov [interview yr] - 2nd mention,METHX186,raw
ED-6 Method(s) used in Nov [interview yr] - 3rd mention,METHX187,raw
ED-6 Method(s) used in Nov [interview yr] - 4th mention,METHX188,raw
ED-6 Method(s) used in Nov [interview yr-1] - 1st mention,METHX137,raw
ED-6 Method(s) used in Nov [interview yr-1] - 2nd mention,METHX138,raw
ED-6 Method(s) used in Nov [interview yr-1] - 3rd mention,METHX139,raw
ED-6 Method(s) used in Nov [interview yr-1] - 4th mention,METHX140,raw
ED-6 Method(s) used in Nov [interview yr-2] - 1st mention,METHX89,raw
ED-6 Method(s) used in Nov [interview yr-2] - 2nd mention,METHX90,raw
ED-6 Method(s) used in Nov [interview yr-2] - 3rd mention,METHX91,raw
ED-6 Method(s) used in Nov [interview yr-2] - 4th mention,METHX92,raw
ED-6 Method(s) used in Nov [interview yr-3] - 1st mention,METHX41,raw
ED-6 Method(s) used in Nov [interview yr-3] - 2nd mention,METHX42,raw
ED-6 Method(s) used in Nov [interview yr-3] - 3rd mention,METHX43,raw
ED-6 Method(s) used in Nov [interview yr-3] - 4th mention,METHX44,raw
ED-6 Method(s) used in Oct [interview yr] - 1st mention,METHX181,raw
ED-6 Method(s) used in Oct [interview yr] - 2nd mention,METHX182,raw
ED-6 Method(s) used in Oct [interview yr] - 3rd mention,METHX183,raw
ED-6 Method(s) used in Oct [interview yr] - 4th mention,METHX184,raw
ED-6 Method(s) used in Oct [interview yr-1] - 1st mention,METHX133,raw
ED-6 Method(s) used in Oct [interview yr-1] - 2nd mention,METHX134,raw
ED-6 Method(s) used in Oct [interview yr-1] - 3rd mention,METHX135,raw
ED-6 Method(s) used in Oct [interview yr-1] - 4th mention,METHX136,raw
ED-6 Method(s) used in Oct [interview yr-2] - 1st mention,METHX85,raw
ED-6 Method(s) used in Oct [interview yr-2] - 2nd mention,METHX86,raw
ED-6 Method(s) used in Oct [interview yr-2] - 3rd mention,METHX87,raw
ED-6 Method(s) used in Oct [interview yr-2] - 4th mention,METHX88,raw
ED-6 Method(s) used in Oct [interview yr-3] - 1st mention,METHX37,raw
ED-6 Method(s) used in Oct [interview yr-3] - 2nd mention,METHX38,raw
ED-6 Method(s) used in Oct [interview yr-3] - 3rd mention,METHX39,raw
ED-6 Method(s) used in Oct [interview yr-3] - 4th mention,METHX40,raw
ED-6 Method(s) used in Sep [interview yr-2] - 4th mention,METHX84,raw
ED-6 Method(s) used in Sept [interview yr] - 1st mention,METHX177,raw
ED-6 Method(s) used in Sept [interview yr] - 2nd mention,METHX178,raw
ED-6 Method(s) used in Sept [interview yr] - 3rd mention,METHX179,raw
ED-6 Method(s) used in Sept [interview yr] - 4th mention,METHX180,raw
ED-6 Method(s) used in Sept [interview yr-1] - 1st mention,METHX129,raw
ED-6 Method(s) used in Sept [interview yr-1] - 2nd mention,METHX130,raw
ED-6 Method(s) used in Sept [interview yr-1] - 3rd mention,METHX131,raw
ED-6 Method(s) used in Sept [interview yr-1] - 4th mention,METHX132,raw
ED-6 Method(s) used in Sept [interview yr-2] - 1st mention,METHX81,raw
ED-6 Method(s) used in Sept [interview yr-2] - 2nd mention,METHX82,raw
ED-6 Method(s) used in Sept [interview yr-2] - 3rd mention,METHX83,raw
ED-6 Method(s) used in Sept [interview yr-3] - 1st mention,METHX33,raw
ED-6 Method(s) used in Sept [interview yr-3] - 2nd mention,METHX34,raw
ED-6 Method(s) used in Sept [interview yr-3] - 3rd mention,METHX35,raw
ED-6 Method(s) used in Sept [interview yr-3] - 4th mention,METHX36,raw
ED-9a # of months using method specified in 1st MC month,MC1MONS1,raw
ED-9b Using methods in 1st MC month at same or diff times,MC1SIMSQ,raw
ED-9c # of months using methods together (1st MC month),MC1MONS2,raw
Ed-9d # of months using method combinations (1st MC month),MC1MONS3,raw
ED-9m Month R Began Using Method/method combo,DATBEGIN_M,raw
ED-9y Year R Began Using Method/method combo,DATBEGIN_Y,raw
EDUCMOM imputation flag,EDUCMOM_I,imputation flag
EF-1 Use Method at Last Sex with 2nd-to-lastpartner in past 12 months?,USELSTP2,raw
EF-1 Use Method at Last Sex with 3rd-to-last partner in past 12 months?,USELSTP3,raw
EF-1 Use Method at Last Sex with last partner in past 12 months?,USELSTP,raw
EF-1b No BC use with 2nd-to-last partner bec you wanted preg?,WYNOLSTP2,raw
EF-1b No BC use with 3rd-to-last partner bec you wanted preg?,WYNOLSTP3,raw
EF-1b No BC use with last partner bec you wanted preg?,WYNOLSTP,raw
EF-1c No BC use with 2nd-to-last partner bec he wanted you to become preg?,HPLSTP2,raw
EF-1c No BC use with 3rd-to-last partner bec he wanted you to become preg?,HPLSTP3,raw
EF-1c No BC use with last partner bec he wanted you to become preg?,HPLSTP,raw
EF-2 Method Used at Last Sex with 2nd-to-last partner in past 12 mons -1st mention,LSTMTHP5,raw
EF-2 Method Used at Last Sex with 2nd-to-last partner in past 12 mons -2nd mention,LSTMTHP6,raw
EF-2 Method Used at Last Sex with 2nd-to-last partner in past 12 mons -3rd mention,LSTMTHP7,raw
EF-2 Method Used at Last Sex with 2nd-to-last partner in past 12 mons -4th mention,LSTMTHP8,raw
EF-2 Method Used at Last Sex with 3rd-to-last partner in past 12 mons -1st mention,LSTMTHP9,raw
EF-2 Method Used at Last Sex with 3rd-to-last partner in past 12 mons -2nd mention,LSTMTHP10,raw
EF-2 Method Used at Last Sex with 3rd-to-last partner in past 12 mons -3rd mention,LSTMTHP11,raw
EF-2 Method Used at Last Sex with 3rd-to-last partner in past 12 mons -4th mention,LSTMTHP12,raw
EF-2 Method Used at Last Sex with last partner in past 12 mons -1st mention,LSTMTHP1,raw
EF-2 Method Used at Last Sex with last partner in past 12 mons -2nd mention,LSTMTHP2,raw
EF-2 Method Used at Last Sex with last partner in past 12 mons -3rd mention,LSTMTHP3,raw
EF-2 Method Used at Last Sex with last partner in past 12 mons -4th mention,LSTMTHP4,raw
EF-3 use method at first sex with 2nd-to-lat partner in past 12 months?,USEFSTP2,raw
EF-3 use method at first sex with 3rd-to-last partner in past 12 months?,USEFSTP3,raw
EF-3 use method at first sex with last partner in past 12 months?,USEFSTP,raw
EF-4 Method used at first sex with 2nd-to-last partner in past 12 mons -1st mention,FSTMTHP5,raw
EF-4 Method used at first sex with 2nd-to-last partner in past 12 mons -2nd mention,FSTMTHP6,raw
EF-4 Method used at first sex with 2nd-to-last partner in past 12 mons -3rd mention,FSTMTHP7,raw
EF-4 Method used at first sex with 2nd-to-last partner in past 12 mons -4th mention,FSTMTHP8,raw
EF-4 Method used at first sex with 3rd-to-last partner in past 12 mons -1st mention,FSTMTHP9,raw
EF-4 Method used at first sex with 3rd-to-last partner in past 12 mons -2nd mention,FSTMTHP10,raw
EF-4 Method used at first sex with 3rd-to-last partner in past 12 mons -3rd mention,FSTMTHP11,raw
EF-4 Method used at first sex with 3rd-to-last partner in past 12 mons -4th mention,FSTMTHP12,raw
EF-4 Method used at first sex with last partner in past 12 mons -1st mention,FSTMTHP1,raw
EF-4 Method used at first sex with last partner in past 12 mons -2nd mention,FSTMTHP2,raw
EF-4 Method used at first sex with last partner in past 12 mons -3rd mention,FSTMTHP3,raw
EF-4 Method used at first sex with last partner in past 12 mons -4th mention,FSTMTHP4,raw
EH-1 R not using a method because want to become preg,WYNOTUSE,raw
EH-2 Rs partner want R to become preg,HPPREGQ,raw
EH-2a How long been trying to become preg (mons or yrs),DURTRY_N,raw
EH-2b How long been trying to become preg (choose mons or yrs),DURTRY_P,raw
EH-2c Reason not using birth control (at risk of unint preg) - 1st mention,WHYNOUSING1,raw
EH-2c Reason not using birth control (at risk of unint preg) - 2nd mention,WHYNOUSING2,raw
EH-2c Reason not using birth control (at risk of unint preg) - 3rd mention,WHYNOUSING3,raw
EH-2c Reason not using birth control (at risk of unint preg) - 4th mention,WHYNOUSING4,raw
EH-2c Reason not using birth control (at risk of unint preg) - 5th mention,WHYNOUSING5,raw
EH-2c Reason not using birth control (at risk of unint preg) - 6th mention,WHYNOUSING6,raw
EH-2c Reason not using birth control (at risk of unint preg) - 7th mention,WHYNOUSING7,raw
EH-2c Reason not using birth control (at risk of unint preg) - 8th mention,WHYNOUSING8,raw
EH-2d main reason not using birth control (at risk of unint preg),MAINNOUSE,raw
EI-1 Reasons for recent pill use-1st mention,YUSEPILL1,raw
EI-1 Reasons for recent pill use-2nd mention,YUSEPILL2,raw
EI-1 Reasons for recent pill use-3rd mention,YUSEPILL3,raw
EI-1 Reasons for recent pill use-4th mention,YUSEPILL4,raw
EI-1 Reasons for recent pill use-5th mention,YUSEPILL5,raw
EI-1 Reasons for recent pill use-6th mention,YUSEPILL6,raw
EI-2 IUD Type in the last two weeks,IUDTYPE,raw
EI-3 Reasons for recent IUD use-1st mention,YUSEIUD1,raw
EI-3 Reasons for recent IUD use-2nd mention,YUSEIUD2,raw
EI-3 Reasons for recent IUD use-3rd mention,YUSEIUD3,raw
EI-3 Reasons for recent IUD use-4th mention,YUSEIUD4,raw
EI-3 Reasons for recent IUD use-5th mention,YUSEIUD5,raw
EJ-1 Source of recent method use,CURBCPLC,raw
EJ-2 How many packs of pills last time got supplies,NUMPILLS,raw
EJ-3 How pay for current method-1st mention,CURBCPAY1,raw
EJ-3 How pay for current method-2nd mention,CURBCPAY2,raw
EJ-3 How pay for current method-3rd mention,CURBCPAY3,raw
EJ-4 Have health ins when got curr method?,CURBCINS,raw
EJ-5 Why not use health ins to pay for curr method?-1st mention,NOUSEINS1,raw
EJ-5 Why not use health ins to pay for curr method?-2nd mention,NOUSEINS2,raw
EJ-6 How much paid for cur method,CURBCAMT,raw
"EJ-7 If cost not an issue, want to use diff method?",NOCOST1,raw
"EJ-8 If cost not an issue, want to use a method?",NOCOST2,raw
EK-1 # times sex with male in last 4 weeks,PST4WKSX,raw
EK-2 Use a condom during sex with male in last 4 wks,PSWKCOND1,raw
EK-3 How many times use condom during sex last 4 wks,PSWKCOND2,raw
EK-3e number of pills missed,MISSPILL,raw
EK-4 How many times used condom during sex last 12 mons,P12MOCON,raw
EK-5 How many times used any method during sex last 12 mons,PXNOFREQ,raw
Ever had an HIV test,EVHIVTST,recode
Ever had male-genital-involving sex with a male partner (computed in FC J-9),OPPSEXGEN,computed
Ever had oral sex with a male partner (computed in FC J-8b),ANYORAL,computed
Ever had sexual experience with a female partner (computed in FC J-19),SAMESEXANY,computed
Ever had vaginal intercourse with male partner (computed in FC J-8b),J_HADSEX,computed
"Ever had vaginal, oral, or anal sex with a male partner (computed in FC J-9)",OPPSEXANY,computed
Ever married to an opposite-sex spouse (computed in FC A-17),EVRMARRY,computed
Ever used any method (computed in FC E-6),EVERUSED,computed
Ever used any method for any reason,ANYMTHD,recode
FA-1a Received method of birth control or prescription for BC in last 12 months,BTHCON12,raw
FA-1b Received checkup for birth control in last 12 months,MEDTST12,raw
FA-1c Received counseling about birth control in last 12 months,BCCNS12,raw
FA-1d Received sterilizing operation in last 12 months,STEROP12,raw
FA-1e Received counseling about getting sterilized in last 12 months,STCNS12,raw
FA-1f Received emergency contraception or prescription for EC in last 12 months,EMCON12,raw
FA-1g Received counseling about emergency contraception in last 12 months,ECCNS12,raw
FA-3a Received pregnancy test in last 12 months,PRGTST12,raw
FA-3b Received Pap test in last 12 months,PAP12,raw
FA-3c Received pelvic exam in last 12 months,PELVIC12,raw
FA-3d Received prenatal care in last 12 months,PRENAT12,raw
FA-3e Received post-pregnancy care in last 12 months,PARTUM12,raw
FA-3f Received testing for STD in last 12 months,STDSVC12,raw
FA-3g Reason did not see a doctor in past 12 months - 1st mention,BARRIER_01,raw
FA-3g Reason did not see a doctor in past 12 months - 2nd mention,BARRIER_02,raw
FA-3g Reason did not see a doctor in past 12 months - 3rd mention,BARRIER_03,raw
FA-3g Reason did not see a doctor in past 12 months - 4th mention,BARRIER_04,raw
FA-3g Reason did not see a doctor in past 12 months - 5th mention,BARRIER_05,raw
FA-3g Reason did not see a doctor in past 12 months - 6th mention,BARRIER_06,raw
FA-3g Reason did not see a doctor in past 12 months - 7th mention,BARRIER_07,raw
FA-3g Reason did not see a doctor in past 12 months - 8th mention,BARRIER_08,raw
FA-4 Received Services Last 12 Months at 1 or More Visits,NUMBCVIS,raw
FA-5 Where R Rec'd all services in one visit,BC12PLCX_01,raw
FA-5 Where R Rec'd Check-up for Birth Control in Last 12 Months,BC12PLCX_03,raw
FA-5 Where R Rec'd Counseling about Birth Control in Last 12 Months,BC12PLCX_04,raw
FA-5 Where R Rec'd Counseling on Emerg. Contraception in Last 12 Months,BC12PLCX_08,raw
FA-5 Where R Rec'd Counseling on Getting Sterilized in Last 12 Months,BC12PLCX_06,raw
FA-5 Where R Rec'd Emergency Contraception in Last 12 Months,BC12PLCX_07,raw
FA-5 Where R Rec'd Method of Birth Control/Prescription in Last 12 Months,BC12PLCX_02,raw
FA-5 Where R Rec'd Pap test in Last 12 Months,BC12PLCX_10,raw
FA-5 Where R Rec'd Pelvic Exam in Last 12 Months,BC12PLCX_11,raw
FA-5 Where R Rec'd Post-pregnancy care in Last 12 Months,BC12PLCX_13,raw
FA-5 Where R Rec'd Pregnancy Test in Last 12 Months,BC12PLCX_09,raw
FA-5 Where R Rec'd Prenatal Care in Last 12 Months,BC12PLCX_12,raw
FA-5 Where R Rec'd sterilizing operation in Last 12 Months,BC12PLCX_05,raw
FA-5 Where R Rec'd testing for STD in Last 12 Months,BC12PLCX_14,raw
FA-5a Talked to provider in the past 12 months about specific topics -1st mention,TALKPROV_1,raw
FA-5a Talked to provider in the past 12 months about specific topics-2nd mention,TALKPROV_2,raw
FA-5a Talked to provider in the past 12 months about specific topics-3rd mention,TALKPROV_3,raw
FA-5b Main reason chose place for STD test,WHYPSTD,raw
FA-5c Main reason no STD test in past 12 months,WHYNOSTD,raw
FA-5d When info about birth control whether provider talked about LARC,BCCLARC,raw
FA-6 Way Bill Was Paid-a check-up or medical test related to using a birth control method (1st mention),BC12PAY_03_1,raw
FA-6 Way Bill Was Paid-a check-up or medical test related to using a birth control method (2nd mention),BC12PAY_03_2,raw
FA-6 Way Bill Was Paid-a check-up or medical test related to using a birth control method (3rd mention),BC12PAY_03_3,raw
FA-6 Way Bill Was Paid-a Pap test (1st mention),BC12PAY_10_1,raw
FA-6 Way Bill Was Paid-a Pap test (2nd mention),BC12PAY_10_2,raw
FA-6 Way Bill Was Paid-a Pap test (3rd mention),BC12PAY_10_3,raw
FA-6 Way Bill Was Paid-a sterilizing operation (1st mention),BC12PAY_05_1,raw
FA-6 Way Bill Was Paid-a sterilizing operation (2nd mention),BC12PAY_05_2,raw
FA-6 Way Bill Was Paid-a sterilizing operation (3rd mention),BC12PAY_05_3,raw
FA-6 Way Bill Was Paid-counseling or information about birth control (1st mention),BC12PAY_04_1,raw
FA-6 Way Bill Was Paid-counseling or information about birth control (2nd mention),BC12PAY_04_2,raw
FA-6 Way Bill Was Paid-counseling or information about birth control (3rd mention),BC12PAY_04_3,raw
FA-6 Way Bill Was Paid-counseling or information about emergency contraception (1st mention),BC12PAY_08_1,raw
FA-6 Way Bill Was Paid-counseling or information about emergency contraception (2nd mention),BC12PAY_08_2,raw
FA-6 Way Bill Was Paid-counseling or information about emergency contraception (3rd mention),BC12PAY_08_3,raw
FA-6 Way Bill Was Paid-counseling or information about getting sterilized (1st mention),BC12PAY_06_1,raw
FA-6 Way Bill Was Paid-counseling or information about getting sterilized (2nd mention),BC12PAY_06_2,raw
FA-6 Way Bill Was Paid-counseling or information about getting sterilized (3rd mention),BC12PAY_06_3,raw
FA-6 Way Bill Was Paid-emergency contraception (1st mention),BC12PAY_07_1,raw
FA-6 Way Bill Was Paid-emergency contraception (2nd mention),BC12PAY_07_2,raw
FA-6 Way Bill Was Paid-emergency contraception (3rd mention),BC12PAY_07_3,raw
FA-6 Way Bill Was Paid-Method of birth control or prescription for a method (1st mention),BC12PAY_02_1,raw
FA-6 Way Bill Was Paid-Method of birth control or prescription for a method (2nd mention),BC12PAY_02_2,raw
FA-6 Way Bill Was Paid-Method of birth control or prescription for a method (3rd mention),BC12PAY_02_3,raw
FA-6 Way Bill Was Paid-pelvic exam (1st mention),BC12PAY_11_1,raw
FA-6 Way Bill Was Paid-pelvic exam (2nd mention),BC12PAY_11_2,raw
FA-6 Way Bill Was Paid-pelvic exam (3rd mention),BC12PAY_11_3,raw
FA-6 Way Bill Was Paid-post-pregnancy care (1st mention),BC12PAY_13_1,raw
FA-6 Way Bill Was Paid-post-pregnancy care (2nd mention),BC12PAY_13_2,raw
FA-6 Way Bill Was Paid-post-pregnancy care (3rd mention),BC12PAY_13_3,raw
FA-6 Way Bill Was Paid-pregnancy test (1st mention),BC12PAY_09_1,raw
FA-6 Way Bill Was Paid-pregnancy test (2nd mention),BC12PAY_09_2,raw
FA-6 Way Bill Was Paid-pregnancy test (3rd mention),BC12PAY_09_3,raw
FA-6 Way Bill Was Paid-prenatal care (1st mention),BC12PAY_12_1,raw
FA-6 Way Bill Was Paid-prenatal care (2nd mention),BC12PAY_12_2,raw
FA-6 Way Bill Was Paid-prenatal care (3rd mention),BC12PAY_12_3,raw
FA-6 Way Bill Was Paid-Services all received in one visit (1st mention),BC12PAY_01_1,raw
FA-6 Way Bill Was Paid-Services all received in one visit (2nd mention),BC12PAY_01_2,raw
FA-6 Way Bill Was Paid-Services all received in one visit (3rd mention),BC12PAY_01_3,raw
FA-6 Way Bill Was Paid-test for STD (1st mention),BC12PAY_14_1,raw
FA-6 Way Bill Was Paid-test for STD (2nd mention),BC12PAY_14_2,raw
FA-6 Way Bill Was Paid-test for STD (3rd mention),BC12PAY_14_3,raw
FA-9 Clinic Rs Regular Place for Care (a check-up or medical test related to using a birth control method),REGCAR12_F_03,raw
FA-9 Clinic Rs Regular Place for Care (a sterilizing operation),REGCAR12_F_05,raw
FA-9 Clinic Rs Regular Place for Care (counseling or information about birth control),REGCAR12_F_04,raw
FA-9 Clinic Rs Regular Place for Care (counseling or information about emergency contraception),REGCAR12_F_08,raw
FA-9 Clinic Rs Regular Place for Care (counseling or information about getting sterilized),REGCAR12_F_06,raw
FA-9 Clinic Rs Regular Place for Care (emergency contraception),REGCAR12_F_07,raw
FA-9 Clinic Rs Regular Place for Care (method of birth control or prescription for a method),REGCAR12_F_02,raw
FA-9 Clinic Rs Regular Place for Care (Pap test),REGCAR12_F_10,raw
FA-9 Clinic Rs Regular Place for Care (Pelvic exam),REGCAR12_F_11,raw
FA-9 Clinic Rs Regular Place for Care (post-pregnancy care),REGCAR12_F_13,raw
FA-9 Clinic Rs Regular Place for Care (pregnancy test),REGCAR12_F_09,raw
FA-9 Clinic Rs Regular Place for Care (Prenatal care),REGCAR12_F_12,raw
FA-9 Clinic Rs Regular Place for Care (services received all in one visit),REGCAR12_F_01,raw
FA-9 Clinic Rs Regular Place for Care (test for STD),REGCAR12_F_14,raw
Family income as percentage of federal poverty threshold (top- and bottom-coded),POVERTY,recode
FB-1 Has R ever Visited Clinic for Medical/BC Service,EVERFPC,raw
FC-2 Timing of R's last Pap test,LASTPAP,raw
FC-3 Main reason for Rs last Pap test,MREASPAP,raw
FC-4 Age at 1st Pap test (top- and bottom-coded),AGEFPAP,raw
FC-4a Follow up age at 1st Pap test,AGEFPAP2,raw
FC-5 Has R had abnormal Pap test last 5 years,ABNPAP5,raw
FD-1 Was pelvic exam at same time as Pap test,PELWPAP,raw
FD-2 Timing of R's last pelvic exam,LASTPEL,raw
FD-3 Main reason for Rs last pelvic exam,MREASPEL,raw
FD-4 Age at 1st pelvic exam (top- and bottom-coded),AGEFPEL,raw
FD-4a Follow up age at 1st pelvic exam,AGEPEL2,raw
FE-2 R ever had HPV test,EVHPVTST,raw
FE-3 Was HPV test at same time as Pap test,HPVWPAP,raw
FE-4 Timing of R's last HPV test,LASTHPV,raw
FE-5 Main reason for Rs last HPV test,MREASHPV,raw
FE-6 Age of 1st HPV test (top- and bottom-coded),AGEFHPV,raw
FE-6a Follow up age at 1st HPV test,AGEFHPV2,raw
FE-7 preference of self-test for HPV test,SELFTEST,raw
FE-8 Self-test for HPV test prefer at home or doctor's office,SELFTEST2,raw
FECUND_I imputation flag,FECUND_I,imputation flag
Fecundity status,FECUND,recode
FF-2 Provider asked R whether smoke cigarettes or other tobacco,ASKSMOKE,raw
FF-3 Provider asked R whether wanted to get pregnant,ASKPREG,raw
FF-4 Provider advised R to take vitamin with folic acid,ASKFOLIC,raw
FF-5 At visits last 12 months doctor talked using condom & female method,TALKDM,raw
FG-1 In past 12 months rate provider on respecting you as a person,PROVRESP,raw
FG-2 In past 12 months rate provider on letting you say what mattered re birth control,PROVSAYBC,raw
FG-3 In past 12 months rate provider on taking preference seriously re birth control,PROVPREBC,raw
FG-4 In past 12 months rate provider on giving enough info to make best decision re birth control,PROVINFOBC,raw
Final weight for the 2022-2023 NSFG,WGT2022_2023,weight-related
First named method used in month prior to interview from method history calendar (computed in FC E-54),LSTMONMETH1,computed
